"STATION","NAME","DATE","TAVG"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-26","7.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-27","8.5"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-28","11.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-29","10.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-30","4.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-03-31","9.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-01","11.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-02","10.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-03","10.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-04","11.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-05","14.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-06","14.5"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-07","13.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-08","14.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-09","16.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-10","16.5"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-11","15.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-12","14.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-13","10.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-14","15.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-15","16.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-16","16.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-17","15.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-18","14.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-19","14.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-20","14.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-21","9.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-22","14.0"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-23","14.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-24","15.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-25","17.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-26","16.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-27","12.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-28","11.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-29","15.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-04-30","13.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-01","14.5"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-02","17.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-03","19.1"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-04","20.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-05","20.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-06","19.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-07","19.7"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-08","19.8"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-09","18.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-10","15.3"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-11","11.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-12","11.2"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-13","13.6"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-14","10.9"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-15","15.4"
"FR000007630","TOULOUSE BLAGNAC, FR","2020-05-16","16.2"
